Variable,Group0_W,Group0_p,Group1_W,Group1_p
O3PPl+R+ASUB,0.3339682361426941,1.8691166197699423e-11,0.4302290743339898,3.928510375666692e-11
O3PPl+R+ASUBMS,0.3751177760827199,4.556634312070505e-11,0.2339906165328327,5.196862848976486e-13
O3PSg+R-APREP,0.5419416744990947,2.727139811380831e-09,0.3812787189655187,1.2236105654761465e-11
O3PSg+R-APREPES,0.4606994049363048,3.339427669701858e-10,0.4111927286580379,2.4760584398926812e-11
O3PSg-R-AExpSUBES,0.7502432709043423,2.478112748711393e-06,0.5872047764411957,2.836444514570517e-09
O3PSg-R-AExpOBJ,0.47115287026197983,4.321214672820337e-10,0.49497246852225396,2.0540970057009598e-10
O3PSg-R-AExpOBJMS,0.4297772210741606,1.588379408583697e-10,0.3485200859298232,5.808273636536463e-12
O3PSg+R-APOSS,0.5524206159221934,3.639116461322225e-09,0.4499389333324796,6.407997010584552e-11
O3PSg+R-APOSSPREP,0.5817415927144683,8.358445122577662e-09,0.2330877348335969,5.104287591121693e-13
O3PSg+R-APOSSPREPMS,0.4029213135519908,8.515990706207678e-11,0.14967652309572388,1.0318425192153712e-13
O1PPl,0.4607888099190056,3.34674881696032e-10,0.5781552819124605,2.156847957886428e-09
O1PPlSUB,0.42163915847814604,1.312239988968937e-10,0.6031654083784659,4.6432682747089934e-09
ESTRUNC,0.7357008177319015,1.4013753985453215e-06,0.675357819898463,5.149897044378208e-08
ESTRUNC+A,0.5464346672778225,3.0845563445875703e-09,0.6574128899371773,2.748989755002285e-08
TRUNC+A,0.7376514188274648,1.5110907051815447e-06,0.7871007818118587,4.607056169678119e-06
MSTRUNC+A,0.7190356371721287,7.45611001002116e-07,0.7773962735437937,2.970202824231956e-06
ESTRUNC-A,0.5983604407140337,1.3620135257405725e-08,0.3841675251473101,1.3084267710993713e-11
O3PPl+R+AOBJ,0.25351716442275873,3.6376621369502194e-12,0.14967652309572388,1.0318425192153712e-13
O3PPl+R+AOBJES,0.25351716442275873,3.6376621369502194e-12,0.14967652309572388,1.0318425192153712e-13
N1P,0.7041298003810013,4.3202626377076656e-07,0.6968277199985287,1.1238934959325184e-07
N1PSg,0.6971183229457283,3.361393866033344e-07,0.6831142474721459,6.801098298930608e-08
N1PSgSUB,0.6971183229457283,3.361393866033344e-07,0.6831142474721459,6.801098298930608e-08
O3PSg+R+I-ASUBES,0.7085954815840375,5.078611098181563e-07,0.6445204204369244,1.7736199146063157e-08
O3PSg+R+I+A,0.5129857165699938,1.256277218120153e-09,0.6739709067739679,4.9022297730829714e-08
O3PSg+R+I+AOBJ,0.4281167191130155,1.5274445330147012e-10,0.45565474231464775,7.401561308638641e-11
O3PSg+R+I+AOBJMS,0.25351716442275873,3.6376621369502194e-12,0.14967652309572388,1.0318425192153712e-13
O3PSg+R+I+ASUB,0.4329047687327078,1.7101907633258348e-10,0.5541805071135029,1.0632247195411186e-09
O3PSg+R+I+ASUBES,0.1614563332074741,6.472392914136488e-13,0.4900573154760949,1.8027882584427444e-10
O2P,0.592270016973969,1.1371544068454282e-08,0.7538636106425947,1.0704040204425427e-06
O2PSg,0.5506212733198304,3.4621521930124955e-09,0.7398721974490108,5.994260451323841e-07
O2PSgGen,0.27062425919544897,5.096669774527948e-12,0.41760576943732586,2.8892633323549213e-11
O2PSgGenSUB,0.25612777099778195,3.828414511163671e-12,0.4599324627983348,8.250303215010346e-11
O2PSg-R,0.2409624537573961,2.849947204319206e-12,1.0,1.0
O2PSg-R-A,0.2409624537573961,2.849947204319206e-12,1.0,1.0
O2PSg-R-AGen,0.2409624537573961,2.849947204319206e-12,1.0,1.0
O2PSg-R-AGenSUB,0.2409624537573961,2.849947204319206e-12,1.0,1.0
O2PSg-R-AGenSUBES,0.1614563332074741,6.472392914136488e-13,1.0,1.0
O3PPl+R-A,0.7429318013433631,1.856226797394355e-06,0.775387095623466,2.715900000023406e-06
O3PPl+R-APOSS,0.32778833162519416,1.6404541827347122e-11,0.14967652309572388,1.0318425192153712e-13
O3PPl+R+APOSS,0.1614563332074741,6.472392914136488e-13,0.20642500050273527,3.0222261873234456e-13
O3PPl+R+APOSSMS,0.1614563332074741,6.472392914136488e-13,0.14967652309572388,1.0318425192153712e-13
O3PSg+R+I-APREP,0.6640795250674506,1.0782061961819195e-07,0.5442748925180979,7.99668351364726e-10
O3PSg+R+I-APREPMS,0.4883467093487499,6.652881225820757e-10,0.36421641192160137,8.272571530133449e-12
O2PSgSUB,0.431066271356525,1.6374422656229837e-10,0.5877105486553051,2.8805346185309017e-09
