Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3P,767.0,0.12380952380952381,0.36311202474803506,0.04414787916935774,0.031936867789931385,0.03688915628285261,0.026894596627283572,0.0353430353430353,0.0279329608938547,35,39
O3PPl+R-APREPMS,722.5,0.05860805860805862,0.36630353552259354,0.00025736207258731145,0.0007357876648287041,0.0002480641721148026,0.001203391478800088,0.0,0.0,35,39
O1PPlPREP,650.0,-0.04761904761904767,0.37665852691090584,8.071025020177429e-05,0.00047748827950762856,0.00032381235958604105,0.001371586338911376,0.0,0.0,35,39
O3PPl+R+ASUBMS,721.5,0.05714285714285716,0.37856268883998057,0.0005388649432450829,0.001655900660456359,0.0005747639893981334,0.00260210472762482,0.0,0.0,35,39
O3PSg+R+AOBJ,651.0,-0.0461538461538461,0.3917529918292003,0.00084033613445378,0.004971495616050086,0.00047060480840130256,0.0018475776480660787,0.0,0.0,35,39
O3PSg+R+I-APREP,744.0,0.09010989010989001,0.40636363655548513,0.0013976890876038427,0.0023300477687004566,0.0011674119914746538,0.0024565028997984364,0.0,0.0,35,39
O2PSgOBJ,639.0,-0.06373626373626373,0.41221478375965126,0.0003949322079752514,0.001323294654433088,0.000651650770932941,0.0019031781513048848,0.0,0.0,35,39
O3PSg-R-AExpSUBMS,753.5,0.1040293040293041,0.4259631742269657,0.003819809419533643,0.0041017370827455685,0.003650177296340249,0.005070453329658451,0.0029585798816568,0.0,35,39
O3PPl+R-AOBJES,649.5,-0.0483516483516484,0.4572882877655766,0.00015332489133782572,0.0006481970266142441,0.0005066009561786564,0.0016667865471789117,0.0,0.0,35,39
O3PSg+R+I+AOBJMS,705.0,0.03296703296703307,0.48578771200012494,0.00028738529797317427,0.0011864925443584508,8.518613169775897e-05,0.0005319872219438073,0.0,0.0,35,39
O3PPl+R+AOBJES,705.0,0.03296703296703307,0.48578771200012494,0.00028738529797317427,0.0011864925443584508,5.211590577444103e-05,0.0003254637272461038,0.0,0.0,35,39
O3PPl+R+AOBJ,705.0,0.03296703296703307,0.48578771200012494,0.00028738529797317427,0.0011864925443584508,5.211590577444103e-05,0.0003254637272461038,0.0,0.0,35,39
O3PPl+R+ASUBES,652.5,-0.04395604395604391,0.4998629763851751,0.00036205971750402,0.0015124098026914816,0.0006684297046635129,0.002315154040842602,0.0,0.0,35,39
O2PSgSUB,632.0,-0.07399267399267395,0.5029494493773772,0.0026310222462378827,0.007093920066841632,0.00239988437318441,0.004607433770776793,0.0,0.0,35,39
O3PSg+R+I+AOBJES,649.0,-0.04908424908424913,0.5074509301939287,0.00027988448304278285,0.0009953807660285777,0.0005772861666694102,0.0016248484240759347,0.0,0.0,35,39
O3PPl-R-AExpSUBMS,709.0,0.03882783882783891,0.5176852964054258,0.0004328183378386172,0.0014832227536122622,0.00015104815616324359,0.0006641642952575136,0.0,0.0,35,39
O2PSgPREP,650.0,-0.04761904761904767,0.5204013595035958,0.0002590998418341543,0.000898518048736907,0.0008158570126284767,0.002476006754403302,0.0,0.0,35,39
N3PSg+R-ASUBES,703.0,0.03003663003662993,0.5263038625529619,0.00019751289050651713,0.0008362494387230603,0.00023523876734885896,0.0014690656312393293,0.0,0.0,35,39
MSTRUNC+A,631.5,-0.07472527472527468,0.5484091805938934,0.002320497307310834,0.0034248665281171884,0.0029049412382525,0.003639643599453085,0.0,0.0,35,39
TRUNC+A,632.5,-0.07326007326007322,0.5667067159262917,0.0033796749331881626,0.00471135905118389,0.004592718281817269,0.005671115408205073,0.0020876826722338,0.0,35,39
O1PPlOBJ,706.0,0.03443223443223453,0.5671368817746953,0.0003105043007753114,0.0011514828630849972,0.00035026736671659744,0.0018817304300542475,0.0,0.0,35,39
O3PSg-R-A,735.0,0.07692307692307687,0.5696188647102591,0.006746968846209503,0.005251357413704998,0.0061559621351756815,0.006427375854668181,0.0060120240480961,0.006060606060606,35,39
O3PSg+R-APOSSES,652.5,-0.04395604395604391,0.5909472013482728,0.000646705494362077,0.002113660007772663,0.0010918400998022437,0.0029925739312498547,0.0,0.0,35,39
N3PSg+R-ASUB,711.0,0.04175824175824183,0.5933726681907927,0.0008223760671662029,0.002215023023671621,0.0005825050524665334,0.0018850372439847157,0.0,0.0,35,39
N3PSg+R-A,711.0,0.04175824175824183,0.5933726681907927,0.0008223760671662029,0.002215023023671621,0.0005825050524665334,0.0018850372439847157,0.0,0.0,35,39
N1PSg,725.5,0.063003663003663,0.6046421623211657,0.0033754454986577287,0.005254272430829295,0.0028186615172183078,0.004445340027741366,0.0,0.0,35,39
N1PSgSUB,725.5,0.063003663003663,0.6046421623211657,0.0033754454986577287,0.005254272430829295,0.0028186615172183078,0.004445340027741366,0.0,0.0,35,39
N3PSg+R-ASUBMS,707.0,0.03589743589743599,0.6088322233564177,0.0005558500641683086,0.0018506130707172416,0.0003472662851176743,0.0012501568172235493,0.0,0.0,35,39
O3PSg+R+I-APREPMS,712.0,0.04322344322344329,0.6119144754775878,0.0005994061393671486,0.0014160164145150336,0.0005980028616042513,0.001890882390863842,0.0,0.0,35,39
O3PSg+R-APREPES,712.0,0.04322344322344329,0.6119144754775878,0.0007471860181402772,0.0018993517121913615,0.0004789646589363487,0.0013180873525174943,0.0,0.0,35,39
O3PPl+R+APOSS,666.0,-0.0241758241758242,0.612206308348695,5.9400059400057146e-05,0.00035141549053159423,0.00038390739954090254,0.0019238514489024767,0.0,0.0,35,39
O3PSg-R-AExpSUB,728.5,0.06739926739926738,0.6162120349080948,0.0054651642355139805,0.00464848992039682,0.005309670179065761,0.006090637566012958,0.0047393364928909,0.0037037037037037,35,39
O1PPlPOSS,654.5,-0.04102564102564099,0.6163530448320862,0.00040976900007886285,0.0011986766155853176,0.0006738717680225872,0.0017513966247846534,0.0,0.0,35,39
